"concept","conceptLabel_en","conceptLabel_de","conceptLabel_fr","conceptDef_en","conceptDef_de","conceptDef_fr","altLabel_en","altLabel_de","altLabel_fr","includesLabel_en","includesLabel_de","includesLabel_fr","isUseOfLabel_en","isUseOfLabel_de","isUseOfLabel_fr","producesLabel_en","producesLabel_de","producesLabel_fr","isProducedByLabel_en","isProducedByLabel_de","isProducedByLabel_fr"
"http://aims.fao.org/aos/agrovoc/c_33342","chrysanthemums","Chrysantheme","Chrysanthème",,,,,,,"Chrysanthemum","Chrysanthemum","Chrysanthemum",,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_33342","chrysanthemums","Chrysantheme","Chrysanthème",,,,,,,"Dendranthema","Dendranthema","Dendranthema",,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_32409","composite board","Schichtholzplatte","panneau composite",,,,,,,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_efbeeee2","composite wood products","Holzkompositprodukt","produit de bois composite",,,,"composite wood assemblies",,,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_1895","cork","Kork","liège","Outer bark of the cork oak; used for stoppers for bottles etc.",,,"boards (cork)","Korkplatte",,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_1895","cork","Kork","liège","Outer bark of the cork oak; used for stoppers for bottles etc.",,,"corkboard","Korkplatte",,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_65afac80","cross laminated timber","Brettsperrholz","bois lamellé-croisé","Cross-laminated timber consists of several layers of boards stacked crosswise (typically at 90 degrees) and fastened with glue, dowels or nails. CLT products are usually fabricated with three to seven layers.",,,,"kreuzverleimtes Konstruktionsholz",,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_28060","deadwood","Totholz","bois mort","All non-living woody biomass not contained in the litter, either standing, lying on the ground, or in the soil. Dead wood includes wood lying on the surface, dead roots, and stumps larger than or equal to 10 cm in diameter or any other diameter used by the country",,,"dead wood","totes Holz",,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_02088607","engineered wood products","Holzwerkstoffprodukt","produit bois d'ingénierie","Products made with engineered wood (an assembly of composite products such as beams and planks, which are usually made of wood boards, veneer layers, wood shavings, or wood chips.)",,,,,,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_28064","extract wood","Holz für Extraktstoffgewinnung","bois de distillation",,,,,,,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_2878","fibreboards","Faserplatte","panneau de fibres",,,,"fiberboards","Holzfaserplatte",,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_2878","fibreboards","Faserplatte","panneau de fibres",,,,"fibre boards","Holzfaserplatte",,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_2878","fibreboards","Faserplatte","panneau de fibres",,,,"insulating board","Holzfaserplatte",,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_2878","fibreboards","Faserplatte","panneau de fibres",,,,"fiberboards","Isolierplatte",,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_2878","fibreboards","Faserplatte","panneau de fibres",,,,"fibre boards","Isolierplatte",,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_2878","fibreboards","Faserplatte","panneau de fibres",,,,"insulating board","Isolierplatte",,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_3049","forest products","Forstprodukt","produit forestier",,,,,,,,,,,,,"forest products industry","Holzproduktindustrie","industrie forestière","forest products industry","Holzproduktindustrie","industrie forestière"
"http://aims.fao.org/aos/agrovoc/c_3137","fuelwood","Brennholz","bois de chauffage","Fuelwood: woodfuel where the original composition of the wood is preserved.",,,"firewood",,"bois de carbonisation",,,,,,,"charcoal","Holzkohle","charbon de bois","charcoal","Holzkohle","charbon de bois"
"http://aims.fao.org/aos/agrovoc/c_3137","fuelwood","Brennholz","bois de chauffage","Fuelwood: woodfuel where the original composition of the wood is preserved.",,,"firewood",,"bois de carbonisation",,,,,,,"fuel crops","Treibstoff liefernde Pflanze","plante énergétique","charcoal","Holzkohle","charbon de bois"
"http://aims.fao.org/aos/agrovoc/c_3137","fuelwood","Brennholz","bois de chauffage","Fuelwood: woodfuel where the original composition of the wood is preserved.",,,"firewood",,"bois de carbonisation",,,,,,,"charcoal","Holzkohle","charbon de bois","fuel crops","Treibstoff liefernde Pflanze","plante énergétique"
"http://aims.fao.org/aos/agrovoc/c_3137","fuelwood","Brennholz","bois de chauffage","Fuelwood: woodfuel where the original composition of the wood is preserved.",,,"firewood",,"bois de carbonisation",,,,,,,"fuel crops","Treibstoff liefernde Pflanze","plante énergétique","fuel crops","Treibstoff liefernde Pflanze","plante énergétique"
"http://aims.fao.org/aos/agrovoc/c_3137","fuelwood","Brennholz","bois de chauffage","Fuelwood: woodfuel where the original composition of the wood is preserved.",,,"firewood",,"bois de charbonnage",,,,,,,"charcoal","Holzkohle","charbon de bois","charcoal","Holzkohle","charbon de bois"
"http://aims.fao.org/aos/agrovoc/c_3137","fuelwood","Brennholz","bois de chauffage","Fuelwood: woodfuel where the original composition of the wood is preserved.",,,"firewood",,"bois de charbonnage",,,,,,,"fuel crops","Treibstoff liefernde Pflanze","plante énergétique","charcoal","Holzkohle","charbon de bois"
"http://aims.fao.org/aos/agrovoc/c_3137","fuelwood","Brennholz","bois de chauffage","Fuelwood: woodfuel where the original composition of the wood is preserved.",,,"firewood",,"bois de charbonnage",,,,,,,"charcoal","Holzkohle","charbon de bois","fuel crops","Treibstoff liefernde Pflanze","plante énergétique"
"http://aims.fao.org/aos/agrovoc/c_3137","fuelwood","Brennholz","bois de chauffage","Fuelwood: woodfuel where the original composition of the wood is preserved.",,,"firewood",,"bois de charbonnage",,,,,,,"fuel crops","Treibstoff liefernde Pflanze","plante énergétique","fuel crops","Treibstoff liefernde Pflanze","plante énergétique"
"http://aims.fao.org/aos/agrovoc/c_3137","fuelwood","Brennholz","bois de chauffage","Fuelwood: woodfuel where the original composition of the wood is preserved.",,,"firewood",,"bois de feu",,,,,,,"charcoal","Holzkohle","charbon de bois","charcoal","Holzkohle","charbon de bois"
"http://aims.fao.org/aos/agrovoc/c_3137","fuelwood","Brennholz","bois de chauffage","Fuelwood: woodfuel where the original composition of the wood is preserved.",,,"firewood",,"bois de feu",,,,,,,"fuel crops","Treibstoff liefernde Pflanze","plante énergétique","charcoal","Holzkohle","charbon de bois"
